id,titulo,localización,precio,Planta,Ascensor,EXT-INT,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108529057,"Piso en venta en calle de Hortaleza, 80",Chueca-Justicia,486000,4, No,Interior,60.0,,,False,Segunda mano/buen estado,False,,,,False,"Calle de Hortaleza, 80",Distrito Centro,"Madrid capital, Madrid",
108353732,"Piso en venta en calle de la Fe, 1",Lavapiés-Embajadores,350000,2, Si,Interior,75.0,,,False,Segunda mano/buen estado,True,,1880.0,,True,"Calle de la Fe, 1",Distrito Centro,"Madrid capital, Madrid",
104965998,Piso en venta en Chueca-Justicia,Centro,3380000,2, Si,Exterior,346.0,5.0,4.0,False,Segunda mano/para reformar,False,,,,False,,Distrito Centro,"Madrid capital, Madrid",
108471095,"Piso en venta en calle de Luis Vélez de Guevara, 3",Lavapiés-Embajadores,420000,Semi-sótano , No,Interior,43.0,,,True,Segunda mano/buen estado,False,,,,True,"Calle de Luis Vélez de Guevara, 3",Distrito Centro,"Madrid capital, Madrid",
108399272,Piso en venta en Chueca-Justicia,Centro,295000,5, No,Exterior,44.0,,,False,Segunda mano/para reformar,False,,,,False,,Distrito Centro,"Madrid capital, Madrid",
108365020,"Ático en venta en calle del Ángel, 3",Palacio,205000,4, No,Exterior,40.0,,,False,Segunda mano/buen estado,False,,,,False,"Calle del Ángel, 3",Distrito Centro,"Madrid capital, Madrid",
108398534,"Piso en venta en calle de Santa Teresa, 14",Chueca-Justicia,1050000,4, Si,Interior,85.0,2.0,2.0,False,Segunda mano/buen estado,True,,1905.0,Gas natural,True,"Calle de Santa Teresa, 14",Distrito Centro,"Madrid capital, Madrid",
108213060,Ático en venta en Chueca-Justicia,Centro,2100000,4, Si,Exterior,185.0,3.0,2.0,True,Segunda mano/para reformar,False,Norte,,,False,,Distrito Centro,"Madrid capital, Madrid",
108352703,"Piso en venta en calle Infantas, 13",Chueca-Justicia,673000,4, Si,Interior,83.0,2.0,2.0,False,Segunda mano/buen estado,True,Sur,,Gas natural,True,"Calle Infantas, 13",Distrito Centro,"Madrid capital, Madrid",
108241702,Piso en venta en Lavapiés-Embajadores,Centro,168000,Bajo , No,Exterior,31.0,,,False,Segunda mano/buen estado,False,,,,False,,Distrito Centro,"Madrid capital, Madrid",
102947315,Piso en venta en Chueca-Justicia,Centro,1200000,6, Si,Exterior,100.0,2.0,3.0,False,Segunda mano/buen estado,True,Sur,,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
106650498,Piso en venta en Malasaña-Universidad,Centro,310000,,,,45.0,2.0,,False,Segunda mano/buen estado,True,Este,1960.0,Eléctrica,True,,Distrito Centro,"Madrid capital, Madrid",
107990334,"Estudio en venta en calle de Santa Bárbara, 3",Malasaña-Universidad,210000,Bajo , No,Interior,30.0,,,True,Segunda mano/buen estado,True,Norte,,,True,"Calle de Santa Bárbara, 3",Distrito Centro,"Madrid capital, Madrid",
107968191,"Piso en venta en calle de Buenavista, 24",Lavapiés-Embajadores,219000,1, No,Interior,24.0,,,False,Segunda mano/buen estado,True,,,,True,"Calle de Buenavista, 24",Distrito Centro,"Madrid capital, Madrid",
106859802,Piso en venta en Palacio,Centro,600000,Bajo , No,Exterior,90.0,2.0,2.0,False,Segunda mano/buen estado,True,,,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
108425572,Piso en venta en Lavapiés-Embajadores,Centro,430000,3, No,Exterior,72.0,,,False,Segunda mano/buen estado,True,Oeste,,,True,,Distrito Centro,"Madrid capital, Madrid",
108556036,Piso en venta en Malasaña-Universidad,Centro,439000,3, Si,Exterior,49.0,,,False,Segunda mano/para reformar,True,,,,True,,Distrito Centro,"Madrid capital, Madrid",
107439325,Piso en venta en Palacio,Centro,1800000,2, Si,Exterior,200.0,5.0,3.0,False,Segunda mano/para reformar,False,,1890.0,Gas natural,False,,Distrito Centro,"Madrid capital, Madrid",
108590175,Piso en venta en Chueca-Justicia,Centro,1100000,,,,153.0,4.0,3.0,False,Segunda mano/buen estado,False,Sur,,,False,,Distrito Centro,"Madrid capital, Madrid",
107736996,Piso en venta en Lavapiés-Embajadores,Centro,280000,2, No,Exterior,32.0,,,False,Segunda mano/buen estado,False,,,,True,,Distrito Centro,"Madrid capital, Madrid",
108298840,"Piso en venta en calle de Larra, 15",Chueca-Justicia,550000,1, Si,Interior,70.0,2.0,,False,Segunda mano/buen estado,True,Sur,,Gas natural,False,"Calle de Larra, 15",Distrito Centro,"Madrid capital, Madrid",
108466632,Piso en venta en Chueca-Justicia,Centro,339000,,,,30.0,,,False,Segunda mano/buen estado,True,,,,True,,Distrito Centro,"Madrid capital, Madrid",
107720221,Piso en venta en Malasaña-Universidad,Centro,446000,1, Si,Interior,53.0,2.0,2.0,False,Segunda mano/buen estado,False,,,,True,,Distrito Centro,"Madrid capital, Madrid",
108169995,"Piso en venta en calle del Olivar, 35",Lavapiés-Embajadores,276000,Bajo , No,Exterior,,,,False,,False,,,,False,"Calle del Olivar, 35",Distrito Centro,"Madrid capital, Madrid",
88624226,"Piso en venta en calle Fresa, 6",Sol,600000,3, No,Exterior,65.0,2.0,2.0,True,Segunda mano/buen estado,False,Sur,,,True,"Calle Fresa, 6",Distrito Centro,"Madrid capital, Madrid",
107963957,"Ático en venta en calle del Limón, 14",Malasaña-Universidad,475000,4, Si,Exterior,40.0,,,True,Segunda mano/buen estado,True,,,,True,"Calle del Limón, 14",Distrito Centro,"Madrid capital, Madrid",
108546753,"Piso en venta en calle de Pelayo, 32",Chueca-Justicia,499000,1, No,Interior,60.0,2.0,2.0,False,Segunda mano/buen estado,True,Sur,1900.0,Eléctrica,False,"Calle de Pelayo, 32",Distrito Centro,"Madrid capital, Madrid",
92114729,Piso en venta en Chueca-Justicia,Centro,1450000,3, Si,Exterior,145.0,2.0,2.0,False,Segunda mano/para reformar,False,,,,False,,Distrito Centro,"Madrid capital, Madrid",
