propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
108639306,1100.0,flat,rent,2,2,88.0,"calle Lagar, 13",Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3908577,-5.9929627,3091,True,en,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 150.0}",13.0,{'typology': 'flat'}
99617405,1300.0,duplex,rent,1,1,67.0,calle Gravina,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3904259,-5.9999475,2835,True,3,,19.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
93854972,900.0,flat,rent,2,1,78.0,"Castillo Alcala de Guadaira, 8",Sevilla,Sevilla,La Palmera - Los Bermejales,Bami - Pineda,37.3611527,-5.977504,2738,True,4,,12.0,{'typology': 'flat'}
108141245,800.0,flat,rent,1,1,40.0,"calle San Vicente, 22",Sevilla,Sevilla,Centro,San Vicente,37.3940807,-5.9995343,3238,False,3,,20.0,{'typology': 'flat'}
99618006,1150.0,flat,rent,1,1,54.0,calle Gravina,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3914517,-5.9993158,2959,True,bj,,21.0,{'typology': 'flat'}
99617231,1400.0,flat,rent,2,1,66.0,calle Gravina,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3930097,-6.0003587,3106,True,2,,21.0,{'typology': 'flat'}
108394004,1300.0,flat,rent,3,3,140.0,"calle Rodas, 2",Sevilla,Sevilla,La Palmera - Los Bermejales,Palmas Altas,37.3361846,-5.9806842,4074,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",9.0,{'typology': 'flat'}
108780082,1200.0,flat,rent,2,1,75.0,"plaza Alfaro, 2",Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3849598,-5.9886965,2731,True,2,,16.0,{'typology': 'flat'}
96396419,1200.0,flat,rent,2,2,96.0,"calle Jandula, 3",Sevilla,Sevilla,La Palmera - Los Bermejales,Bami - Pineda,37.3550235,-5.9748432,3158,True,4,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,{'typology': 'flat'}
108777720,800.0,flat,rent,2,1,80.0,avenida de la Cruz Roja,Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,Cruz Roja - Capuchinos,37.4000957,-5.9827248,4423,True,3,,10.0,{'typology': 'flat'}
1385758,750.0,flat,rent,1,1,50.0,alameda de Hércules,Sevilla,Sevilla,Centro,Alameda,37.3967214,-5.9949505,3631,True,1,,15.0,{'typology': 'flat'}
86283494,1500.0,flat,rent,3,2,110.0,calle Fernando IV s/n,Sevilla,Sevilla,Los Remedios,Ramón de Carranza - Madre Rafols,37.3734934,-6.0017391,1022,True,7,,14.0,{'typology': 'flat'}
108791081,1400.0,penthouse,rent,4,2,138.0,Camas,Sevilla,Camas,,,37.3944098,-6.0311173,3789,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
95835233,1700.0,penthouse,rent,3,2,120.0,"Jándula, 3",Sevilla,Sevilla,La Palmera - Los Bermejales,Bami - Pineda,37.355919,-5.9749801,3111,True,8,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
108812375,1600.0,flat,rent,2,2,105.0,"calle Juan Sebastián Elcano, 11",Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3744128,-5.9960151,1429,,1,,15.0,{'typology': 'flat'}
94132104,1200.0,duplex,rent,2,2,96.0,puerta del Osario s/n,Sevilla,Sevilla,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3933238,-5.9849561,3679,True,bj,,13.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
105455634,800.0,flat,rent,2,1,72.0,calle Lyon,Sevilla,Sevilla,La Palmera - Los Bermejales,Los Bermejales,37.3485793,-5.9765849,3364,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'}
108519915,1100.0,flat,rent,1,1,46.0,Barrio Encarnación-Las Setas,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3929256,-5.9950312,3231,True,1,,24.0,{'typology': 'flat'}
94132104,1200.0,duplex,rent,2,2,96.0,puerta del Osario s/n,Sevilla,Sevilla,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3933238,-5.9849561,3679,True,bj,,13.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
108786152,1500.0,flat,rent,3,2,138.0,Barrio Tiro de Línea,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3687023,-5.9761595,2828,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'}
91512100,1050.0,flat,rent,1,1,85.0,"calle Cerrajería, 2 -22",Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3911007,-5.9939906,3078,False,1,,12.0,{'typology': 'flat'}
108786569,900.0,chalet,rent,3,2,104.0,Barrio Bellavista,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Bellavista,37.3214217,-5.9673004,6097,,,,9.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}"
107541175,1650.0,flat,rent,3,2,166.0,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3865822,-5.9882934,2896,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,{'typology': 'flat'}
108237626,1200.0,flat,rent,1,1,66.0,calle Juan Sebastián Elcano,Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3780644,-5.9973486,1660,True,6,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",18.0,{'typology': 'flat'}
108735376,795.0,flat,rent,4,1,110.0,calle Almirante Argandoña,Sevilla,Sevilla,Bellavista - Jardines de Hércules,Bellavista,37.3251473,-5.9651978,5885,True,2,,7.0,{'typology': 'flat'}
108804450,1200.0,flat,rent,2,1,69.0,calle Rodrigo Caro,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3872046,-5.9907636,2829,True,1,,17.0,{'typology': 'flat'}
108667509,1790.0,chalet,rent,2,2,161.0,"CL VOLUNTAD, 31",Sevilla,Sevilla,Triana,López de Gomara,37.3791976,-6.0059753,1507,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
101800404,1125.0,flat,rent,3,2,110.0,calle Virgen de Valvanera,Sevilla,Sevilla,Nervión,Nervión,37.3844183,-5.975434,3545,True,11,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 50.0}",10.0,{'typology': 'flat'}
107329160,1850.0,flat,rent,2,2,99.0,calle Antonio Salado,Sevilla,Sevilla,Centro,San Vicente,37.3952179,-6.0027672,3310,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",19.0,{'typology': 'flat'}
88951187,1175.0,flat,rent,4,2,108.0,calle Hespérides,Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa,37.4010252,-5.9690289,5217,True,4,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'}
106227681,750.0,flat,rent,1,1,60.0,calle Espinosa de los Monteros,Sevilla,Sevilla,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín,37.3799692,-5.9650613,4106,True,bj,,13.0,{'typology': 'flat'}
108795236,1800.0,flat,rent,3,2,147.0,calle Juan Sebastián Elcano,Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3786063,-5.9954651,1806,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12.0,{'typology': 'flat'}
91016454,900.0,studio,rent,0,1,40.0,"Salado, 2",Sevilla,Sevilla,Los Remedios,Plaza de Cuba - República Argentina,37.3798134,-5.9999198,1718,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 190.0}",23.0,"{'typology': 'flat', 'subTypology': 'studio'}"
108691284,1050.0,flat,rent,3,2,90.0,calle Edificio Mediodia s/n,Sevilla,Tomares,Santa Eufemia,,37.3790207,-6.0416629,3325,True,7,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12.0,{'typology': 'flat'}
106916683,1300.0,flat,rent,2,2,93.0,calle San Laureano,Sevilla,Sevilla,Centro,San Vicente,37.3943882,-6.0007835,3248,False,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 150.0}",14.0,{'typology': 'flat'}
108699236,1500.0,flat,rent,3,2,113.0,RD RONDA DE CAPUCHINOS,Sevilla,Sevilla,Centro,San Julián,37.3993176,-5.9843634,4276,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,{'typology': 'flat'}
107233893,1350.0,flat,rent,1,1,85.0,calle García de Vinuesa,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3871961,-5.9940362,2684,True,1,,16.0,{'typology': 'flat'}
107900167,980.0,penthouse,rent,1,1,55.0,"calle Conquista, 2",Sevilla,Sevilla,Centro,Puerta de la Carne - Judería,37.3860705,-5.9862707,2963,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",18.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
103912940,800.0,flat,rent,3,1,75.0,"calle Tharsis, 6",Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa,37.3989823,-5.9718011,4885,True,3,,11.0,{'typology': 'flat'}
