id,Planta,Ascensor,EXT-INT,titulo,localización,precio,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
106461982,1, No,Exterior,"Alquiler de piso en calle de San Vicente Ferrer, 48",Malasaña-Universidad,3999,93,2.0,2.0,False,Segunda mano/buen estado,True,Norte,1900.0,Gas,True,"Calle de San Vicente Ferrer, 48",Distrito Centro,"Madrid capital, Madrid",
99867898,1, No,Interior,Alquiler de piso en calle del Acuerdo,Malasaña-Universidad,1500,48,2.0,,False,Segunda mano/buen estado,True,Norte,,Gas natural,False,Calle del Acuerdo,Distrito Centro,"Madrid capital, Madrid",
99867898,1, No,Interior,Alquiler de piso en calle del Acuerdo,Malasaña-Universidad,1500,48,2.0,,False,Segunda mano/buen estado,True,Norte,,Gas natural,False,Calle del Acuerdo,Distrito Centro,"Madrid capital, Madrid",
108617748,1, No,Exterior,"Alquiler de estudio en calle del Salitre, 32",Lavapiés-Embajadores,900,36,,,False,Segunda mano/buen estado,False,,1900.0,,False,"Calle del Salitre, 32",Distrito Centro,"Madrid capital, Madrid",
108567988,1, No,Exterior,Alquiler de piso en calle de Hortaleza,Chueca-Justicia,3500,105,2.0,2.0,False,Segunda mano/buen estado,True,,1900.0,Gas,True,Calle de Hortaleza,Distrito Centro,"Madrid capital, Madrid",
107076776,1, No,Exterior,"Alquiler de piso en calle de la Victoria, 3",Sol,1600,47,,,False,Segunda mano/buen estado,True,Oeste,,Bomba de frío/calor,True,"Calle de la Victoria, 3",Distrito Centro,"Madrid capital, Madrid",
34453401,1, No,Exterior,Alquiler de piso en calle agustín de rojas,Ciudad Jardín,1495,55,,,False,Segunda mano/buen estado,True,,,Gas natural,True,Calle agustín de rojas,Distrito Chamartín,"Madrid capital, Madrid",
101642501,1, No,Interior,Alquiler de piso en calle Antonio Pérez,El Viso,2400,66,2.0,,False,Segunda mano/buen estado,True,,1960.0,,False,Calle Antonio Pérez,Distrito Chamartín,"Madrid capital, Madrid",
108111639,1, No,Exterior,Alquiler de piso en calle de López de Hoyos,El Viso,3500,116,4.0,2.0,False,Segunda mano/buen estado,False,,,,False,Calle de López de Hoyos,Distrito Chamartín,"Madrid capital, Madrid",
108215064,1, No,Exterior,Alquiler de piso en calle de Víctor de la Serna,Bernabéu-Hispanoamérica,1500,45,,,True,Segunda mano/buen estado,True,Oeste,,,True,Calle de Víctor de la Serna,Distrito Chamartín,"Madrid capital, Madrid",
108215064,1, No,Exterior,Alquiler de piso en calle de Víctor de la Serna,Bernabéu-Hispanoamérica,1500,45,,,True,Segunda mano/buen estado,True,Oeste,,,True,Calle de Víctor de la Serna,Distrito Chamartín,"Madrid capital, Madrid",
108504323,1, No,Interior,Alquiler de piso en calle de Eguilaz,Trafalgar,990,43,,,False,Segunda mano/buen estado,False,Sur,,Eléctrica,False,Calle de Eguilaz,Distrito Chamberí,"Madrid capital, Madrid",
108491831,1, No,Exterior,"Alquiler de piso en CL Gaztambide, 26",Gaztambide,2900,125,3.0,2.0,True,Segunda mano/buen estado,True,,1970.0,Gas,True,,Distrito Chamberí,"Madrid capital, Madrid",
108281006,1, No,Exterior,Alquiler de piso en calle de Medellín s/n,Trafalgar,1275,30,,,True,Segunda mano/buen estado,False,Este,,Bomba de frío/calor,True,Calle de Medellín s/n,Distrito Chamberí,"Madrid capital, Madrid",
104579474,1, No,Interior,Alquiler de piso en calle de Eloy Gonzalo,Trafalgar,1450,44,,,False,Segunda mano/buen estado,True,Sur,,Gas natural,True,Calle de Eloy Gonzalo,Distrito Chamberí,"Madrid capital, Madrid",
101664213,1, No,Exterior,"Alquiler de estudio en calle del Cardenal Cisneros, 39",Trafalgar,1300,43,,,False,Segunda mano/buen estado,True,,1940.0,Eléctrica,True,"Calle del Cardenal Cisneros, 39",Distrito Chamberí,"Madrid capital, Madrid",
108505800,1, No,Interior,Alquiler de piso en calle de Sagasta,Trafalgar,1090,45,,,False,Segunda mano/buen estado,True,Sur,,Eléctrica,False,Calle de Sagasta,Distrito Chamberí,"Madrid capital, Madrid",
