id,titulo,localización,precio,vivienda,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
99274614,Alquiler de piso en calle de Calatrava,Palacio,3500,piso,130,3,3,False,Segunda mano/buen estado,True,Sur,2020.0,Calefacción individual,True,Calle de Calatrava,Distrito Centro,"Madrid capital, Madrid",
108650669,Alquiler de piso en calle de Santa Isabel,Lavapiés-Embajadores,1420,piso,43,2,1,False,Segunda mano/buen estado,False,Sur,,Bomba de frío/calor,True,Calle de Santa Isabel,Distrito Centro,"Madrid capital, Madrid",
98615340,Alquiler de estudio en calle de Argensola,Chueca-Justicia,1650,estudio,40,0,1,False,Segunda mano/buen estado,True,,,,True,Calle de Argensola,Distrito Centro,"Madrid capital, Madrid",
108650589,Alquiler de piso en calle de Latoneros,Sol,1200,piso,39,0,1,False,Segunda mano/buen estado,False,,,Calefacción individual,True,Calle de Latoneros,Distrito Centro,"Madrid capital, Madrid",
98273538,Alquiler de piso en calle de Santa Inés,Lavapiés-Embajadores,1390,piso,52,0,1,False,Segunda mano/buen estado,True,Sur,1880.0,Gas natural,True,Calle de Santa Inés,Distrito Centro,"Madrid capital, Madrid",
108650432,Alquiler de piso en costanilla de San Pedro,Palacio,1300,piso,65,2,1,False,Segunda mano/buen estado,False,,,,False,,Distrito Centro,"Madrid capital, Madrid",
98273538,Alquiler de piso en calle de Santa Inés,Lavapiés-Embajadores,1390,piso,52,0,1,False,Segunda mano/buen estado,True,Sur,1880.0,Gas natural,True,Calle de Santa Inés,Distrito Centro,"Madrid capital, Madrid",
108650286,"Alquiler de piso en callejón del Mellizo, 7",Lavapiés-Embajadores,1235,piso,50,2,1,False,Segunda mano/buen estado,True,Sur,,Gas natural,False,"Callejón del Mellizo, 7",Distrito Centro,"Madrid capital, Madrid",
103757339,Alquiler de piso en calle Gran Vía,Malasaña-Universidad,3800,piso,124,2,2,True,Segunda mano/buen estado,True,Norte,2022.0,Calefacción individual,True,Calle Gran Vía,Distrito Centro,"Madrid capital, Madrid",
108650170,Alquiler de piso en calle de la Encarnación,Palacio,3500,piso,161,2,2,False,Segunda mano/buen estado,True,Oeste,1910.0,Gas natural,True,Calle de la Encarnación,Distrito Centro,"Madrid capital, Madrid",
99072691,Alquiler de piso en calle de Bordadores,Sol,2800,piso,159,2,2,False,Segunda mano/buen estado,True,Sur,1989.0,Gas natural,True,Calle de Bordadores,Distrito Centro,"Madrid capital, Madrid",
108645018,"Alquiler de piso en calle de Churruca, 14",Chueca-Justicia,1500,piso,65,2,1,False,Segunda mano/buen estado,False,,,,True,"Calle de Churruca, 14",Distrito Centro,"Madrid capital, Madrid",
108508533,Alquiler de piso en calle de Buenavista,Lavapiés-Embajadores,1800,piso,55,0,1,False,Segunda mano/buen estado,True,Oeste,1900.0,Eléctrica,True,Calle de Buenavista,Distrito Centro,"Madrid capital, Madrid",
108647872,"Alquiler de estudio en calle del pez, 10",Malasaña-Universidad,1300,estudio,37,0,1,False,Segunda mano/buen estado,True,Este,,Eléctrica,False,"Calle del pez, 10",Distrito Centro,"Madrid capital, Madrid",
