id;Planta;Ascensor;EXT-INT
108682644;2; No;Exterior
108679810;2; No;Exterior
108676319;2; No;Exterior
100991293;2; No;Exterior
104481843;2; No;Interior
108577896;2; No;Exterior
108656479;2; No;Exterior
106947664;2; No;Exterior
108406181;2; No;Exterior
105316478;2; No;Exterior
100994921;2; No;Interior
104511623;2; No;Exterior
103244570;2; No;Interior
108613719;2; No;Interior
108626195;2; No;Interior
108636843;2; No;Interior
108535728;2; No;Exterior
105993109;2; No;Exterior
108577605;2; No;Exterior
108532409;2; No;Exterior
108581565;2; No;Exterior
108569985;2; No;Exterior
105536600;2; No;Interior
107699000;2; No;Exterior
107707333;2; No;Interior
108465897;2; No;Exterior
107855687;2; No;Interior
105945407;2; No;Exterior
108162226;2; No;Exterior
107737073;2; No;Interior
108291623;2; No;Exterior
108588540;2; No;Exterior
108569177;2; No;Exterior
108484318;2; No;Exterior
108426582;2; No;Exterior
101458125;2; No;Exterior
108556135;2; No;Interior
94987738;2; No;Exterior
108619202;2; No;Exterior
106039725;2; No;Exterior
108513560;2; No;Exterior
89740747;2; No;Exterior
25976567;2; No;Exterior
108588911;2; No;Exterior
108349362;2; No;Exterior
107763227;2; No;Exterior
108377013;2; No;Exterior
108391028;2; No;Exterior
100563050;2; No;Exterior
108688851;2; No;Exterior
85477303;2; No;Exterior
106978194;2; No;Exterior
108668688;2; No;Exterior
101852571;2; No;Exterior
105677297;2; No;Exterior
95199151;2; No;Exterior
107563722;2; No;Exterior
95908246;2; No;Exterior
108613497;2; No;Exterior
108471330;2; No;Exterior
40010666;2; No;Exterior
108599418;2; No;Exterior
107369796;2; No;Exterior
107369669;2; No;Exterior
108631644;2; No;Exterior
107837957;2; No;Exterior
103271657;2; No;Interior
27262710;2; No;Interior
106813088;2; No;Exterior
104625599;2; No;Interior
108495358;2; No;Exterior
89037043;2; No;Exterior
105046226;2; No;Interior
107901790;2; No;Interior
31576647;2; No;Exterior
107289410;2; No;Exterior
108034395;2; No;Exterior
105728566;2; No;Exterior
107734141;2; No;Interior
85485680;2; No;Exterior
108551970;2; No;Interior
94352967;2; No;Exterior
40450683;2; No;Exterior
102283536;2; No;Exterior
104841078;2; No;Interior
108629537;2; No;Interior
108301152;2; No;Exterior
106557301;2; No;Interior
107141343;2; No;Interior
107260009;2; No;Exterior
104512012;2; No;Exterior
108358258;2; No;Exterior
108227471;2; No;Interior
108628006;2; No;Exterior
108682644;2; No;Exterior
108679810;2; No;Exterior
108676319;2; No;Exterior
100991293;2; No;Exterior
104481843;2; No;Interior
108577896;2; No;Exterior
108656479;2; No;Exterior
106947664;2; No;Exterior
108406181;2; No;Exterior
105316478;2; No;Exterior
100994921;2; No;Interior
104511623;2; No;Exterior
103244570;2; No;Interior
108613719;2; No;Interior
108626195;2; No;Interior
108636843;2; No;Interior
108535728;2; No;Exterior
