id;Planta;Ascensor;EXT-INT
108340238;1; No;Interior
107821178;1; Si;Exterior
106267194;1; Si;Exterior
108226467;1; Si;Exterior
108364548;1; Si;Interior
108375208;1; Si;Exterior
108227198;1; Si;Interior
105932827;1; Si;Exterior
107745044;1; No;Exterior
108005506;1; Si;Exterior
108584074;1; Si;Interior
108634096;1; Si;Exterior
108397792;1; Si;Exterior
107764140;1; Si;Exterior
104949549;1; Si;Interior
108142376;1; Si;Exterior
108177713;1; Si;Exterior
108391665;1; Si;Exterior
108437914;1; Si;Exterior
108376641;1; Si;Interior
108517693;1; Si;Interior
108628867;1; Si;Exterior
108349087;1; Si;Exterior
108379563;1; Si;Interior
108612633;1; Si;Interior
108613339;1; Si;Exterior
108587303;1; Si;Interior
107953876;1; Si;Exterior
108383571;1; Si;Exterior
108444990;1; Si;Exterior
84894948;1; Si;Exterior
108554159;1; No;Interior
108577606;1; Si;Exterior
106322462;1; Si;Exterior
108380396;1; No;Interior
108398030;1; Si;Interior
107929150;1; Si;Exterior
108263928;1; No;Interior
108037215;1; Si;Exterior
104368915;1; Si;Exterior
108562891;1; Si;Exterior
108601465;1; Si;Exterior
106058877;1; Si;Exterior
107725642;1; Si;Exterior
98750461;1; Si;Exterior
108608920;1; Si;Interior
107551859;1; Si;Exterior
108235309;1; Si;Exterior
108570497;1; Si;Exterior
106577733;1; Si;Exterior
108076358;1; Si;Interior
108208110;1; Si;Interior
107688639;1; Si;Exterior
106187018;1; Si;Exterior
108561670;1; Si;Exterior
108341028;1; Si;Exterior
107634427;1; No;Exterior
106925882;1; Si;Exterior
108002851;1; Si;Interior
107856217;1; Si;Exterior
103343096;1; Si;Exterior
108078722;1; Si;Exterior
107168533;1; Si;Exterior
108490806;1; Si;Exterior
107750891;1; Si;Exterior
108355047;1; Si;Exterior
108485609;1; Si;Interior
108296603;1; Si;Exterior
106467326;1; Si;Exterior
108205446;1; Si;Exterior
106622678;1; Si;Interior
105180690;1; Si;Exterior
107609770;1; Si;Exterior
107655805;1; Si;Interior
105054172;1; Si;Exterior
108056299;1; Si;Interior
106121715;1; Si;Exterior
101034254;1; Si;Exterior
108468616;1; Si;Exterior
108453013;1; Si;Exterior
108054705;1; Si;Exterior
108508527;1; Si;Exterior
108521565;1; Si;Exterior
108525716;1; Si;Exterior
108195071;1; Si;Exterior
108339449;1; No;Exterior
108421788;1; Si;Exterior
108462803;1; Si;Exterior
107375487;1; Si;Exterior
106004189;1; Si;Exterior
107729377;1; Si;Exterior
108170183;1; Si;Exterior
108107708;1; Si;Exterior
108339125;1; Si;Exterior
106947073;1; Si;Exterior
108644994;1; Si;Exterior
107917428;1; Si;Interior
107965618;1; No;Exterior
108484924;1; Si;Exterior
108534317;1; Si;Exterior
106955486;1; Si;Exterior
108354179;1; Si;Exterior
108485737;1; Si;Exterior
108200022;1; Si;Exterior
107556890;1; Si;Exterior
106892065;1; Si;Exterior
107470501;1; Si;Exterior
108428201;1; Si;Exterior
108051254;1; Si;Exterior
108569733;1; Si;Exterior
102976367;1; Si;Exterior
103282743;1; Si;Exterior
104594035;1; Si;Exterior
