propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
108125856,359000.0,flat,sale,4,2,163.0,rotonda de Santa Eufemia,Sevilla,Tomares,Santa Eufemia,,37.377133,-6.04038,3133,True,6,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2202.0,{'typology': 'flat'}
101607791,475000.0,chalet,sale,4,3,255.0,calle Astrolabio s/n,Sevilla,Mairena del Aljarafe,Nuevo Bulevar,,37.334036,-6.0732795,6765,,,,1863.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}"
108817444,98000.0,flat,sale,2,1,82.0,calle San Isidro Labrador,Sevilla,Mairena del Aljarafe,Ciudad Aljarafe,,37.3483515,-6.0441101,3735,True,3,,1195.0,{'typology': 'flat'}
106786313,335000.0,flat,sale,1,1,77.0,"calle Lirio, 8",Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3893732,-5.9882282,3153,False,bj,,4351.0,{'typology': 'flat'}
105668779,210000.0,duplex,sale,3,2,196.0,calle Santísimo Cristo de los Remedios,Sevilla,Castilleja de la Cuesta,,,37.3894946,-6.052243,4722,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1071.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
108802246,340000.0,flat,sale,3,2,121.0,CL SANTA MARIA LA,Sevilla,Mairena del Aljarafe,Ciudad Expo,,37.3521779,-6.0520635,4180,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2810.0,{'typology': 'flat'}
108735110,99000.0,flat,sale,1,1,38.0,"calle Chile, 4",Sevilla,Bormujos,Zona Avda. Juan Diego,,37.3767112,-6.0769946,6222,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2605.0,{'typology': 'flat'}
104214179,310000.0,flat,sale,4,2,153.0,"calle Canal, 16",Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3737865,-5.9634098,4036,True,1,,2026.0,{'typology': 'flat'}
108601257,395000.0,chalet,sale,3,2,314.0,calle Buenavista,Sevilla,Dos Hermanas,Arco norte - Avda España,,37.3153001,-5.9608974,6981,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1258.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108696289,395000.0,flat,sale,3,2,110.0,ronda de Capuchinos,Sevilla,Sevilla,Centro,San Julián,37.4001382,-5.9851014,4325,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3591.0,{'typology': 'flat'}
107886865,50000.0,flat,sale,3,1,70.0,calle los Mares del Sur,Sevilla,Sevilla,Cerro Amate,Su Eminencia - La Oliva,37.3644275,-5.9669426,3626,True,3,,714.0,{'typology': 'flat'}
108165998,139000.0,flat,sale,3,1,70.0,calle Antonio Mairena,Sevilla,Tomares,Las Almenas,,37.3771323,-6.0505297,3970,True,2,,1986.0,{'typology': 'flat'}
107670392,680000.0,penthouse,sale,3,2,189.0,calle Trajano,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.395366,-5.9961347,3456,True,2,,3598.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
108167616,290000.0,flat,sale,4,2,123.0,"calle Salto de Alvarado, 2",Sevilla,Sevilla,Santa Clara,Santa Clara,37.3946939,-5.9526278,5853,True,7,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 30000.0}",2358.0,{'typology': 'flat'}
108005097,830000.0,flat,sale,3,3,165.0,avenida de la Constitución,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3882445,-5.9932411,2820,True,3,,5030.0,{'typology': 'flat'}
107093016,1200000.0,flat,sale,3,4,310.0,"calle Fabiola, 8",Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3868893,-5.9892944,2872,True,bj,,3871.0,{'typology': 'flat'}
108356839,329900.0,flat,sale,3,2,107.0,Camas,Sevilla,Camas,,,37.3944129,-6.03524,3998,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3083.0,{'typology': 'flat'}
107713002,480000.0,flat,sale,3,2,151.0,calle Trajano,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3954102,-5.9962443,3457,True,1,,3179.0,{'typology': 'flat'}
103678686,495000.0,flat,sale,5,2,154.0,calle Arjona,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3897816,-6.0037002,2700,True,5,,3214.0,{'typology': 'flat'}
107720029,205000.0,flat,sale,5,2,124.0,avenida de Pedro Romero,Sevilla,Sevilla,San Pablo,San Pablo,37.3984828,-5.9618741,5461,True,1,,1653.0,{'typology': 'flat'}
108096293,289000.0,chalet,sale,4,3,113.0,plaza Alijar,Sevilla,Castilleja de la Cuesta,,,37.3900162,-6.0596604,5307,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2558.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
105029148,210000.0,flat,sale,3,2,74.0,calle Virgen de la Cinta,Sevilla,Sevilla,Los Remedios,Ramón de Carranza - Madre Rafols,37.3737122,-5.9989519,1191,True,bj,,2838.0,{'typology': 'flat'}
104733468,1200000.0,flat,sale,5,3,267.0,calle Julio César,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3909518,-5.9979875,2938,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4494.0,{'typology': 'flat'}
108663331,158500.0,flat,sale,3,1,85.0,plaza Roma,Sevilla,Montequinto,Centro,,37.3431127,-5.938029,6671,True,8,,1865.0,{'typology': 'flat'}
105624613,375000.0,duplex,sale,2,1,106.0,calle Inocentes,Sevilla,Sevilla,Centro,Feria,37.3972357,-5.9898873,3849,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3538.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
104202715,283000.0,chalet,sale,3,3,219.0,calle Paddel,Sevilla,Gines,,,37.3917747,-6.0726837,6411,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1292.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}"
106174593,310000.0,chalet,sale,6,2,177.0,calle Vidal de Noya,Sevilla,Sevilla,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín,37.3837034,-5.961018,4602,,,,1751.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
107750649,750000.0,chalet,sale,4,2,341.0,Urbanización Fuentequintillo,Sevilla,Montequinto,Zona Avenida de Europa,,37.3385031,-5.937413,6930,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2199.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
100460577,3500000.0,flat,sale,4,5,459.0,Barrio Plaza de Cuba - República Argentina,Sevilla,Sevilla,Los Remedios,Plaza de Cuba - República Argentina,37.3776611,-5.9981396,1584,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7625.0,{'typology': 'flat'}
108031378,548000.0,flat,sale,3,1,170.0,plaza San Román,Sevilla,Sevilla,Centro,San Julián,37.3938854,-5.9867719,3646,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3224.0,{'typology': 'flat'}
100782692,1800000.0,chalet,sale,6,5,441.0,ALFONSO XII,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.3914461,-5.9974941,3004,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4082.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}"
107717455,370000.0,duplex,sale,2,1,99.0,calle Pagés del Corro,Sevilla,Sevilla,Triana,Ronda de Triana-Patrocinio-Turruñuelo,37.3851516,-6.006561,2162,True,4,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3737.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
103085492,719000.0,duplex,sale,3,3,194.0,calle Conde de Torrejón,Sevilla,Sevilla,Centro,Alameda,37.3975143,-5.9940203,3741,True,,,3706.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
108787206,159000.0,flat,sale,2,2,78.0,plaza Carlos Cano,Sevilla,Mairena del Aljarafe,Centro,,37.3443214,-6.0579659,5021,True,bj,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2038.0,{'typology': 'flat'}
103666175,238500.0,chalet,sale,1,1,60.0,VIRGEN DE BELEN,Sevilla,Gines,,,37.387096,-6.0760855,6472,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3975.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108647362,520000.0,penthouse,sale,4,2,117.0,calle Maestra Antonia Caracuel,Sevilla,Tomares,Centro,,37.3718364,-6.042115,3094,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4444.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
106461353,1150000.0,flat,sale,4,4,194.0,Barrio Arenal - Museo - Tetuán,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3821978,-5.9959595,2115,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5928.0,{'typology': 'flat'}
108179249,290000.0,flat,sale,1,1,59.0,calle Segovias,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3879115,-5.9894801,2956,False,2,,4915.0,{'typology': 'flat'}
108650766,173000.0,flat,sale,3,1,61.0,Grupo las Naciones,Sevilla,Sevilla,Santa Justa - Miraflores - Cruz Roja,La Salle-Avd Manuel del Valle-Las Naciones,37.4049466,-5.9665618,5690,True,4,,2836.0,{'typology': 'flat'}
104126508,380000.0,flat,sale,3,1,120.0,C. Rubens,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.395278,-5.9970229,3423,True,bj,,3167.0,{'typology': 'flat'}
108711513,1500000.0,chalet,sale,6,3,405.0,Jesús del Gran Poder,Sevilla,Sevilla,Centro,Alameda,37.3969588,-5.9939148,3686,,,,3704.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
106071494,215000.0,flat,sale,2,2,51.0,calle Castellar,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3951514,-5.9925977,3540,False,bj,,4216.0,{'typology': 'flat'}
108727769,205000.0,flat,sale,3,2,84.0,plaza de las Estrellas,Sevilla,Mairena del Aljarafe,Ciudad Aljarafe,,37.3472587,-6.0460508,3944,True,4,,2440.0,{'typology': 'flat'}
105564266,949000.0,chalet,sale,6,4,556.0,Urbanización Valero Chico,Sevilla,Camas,,,37.3873643,-6.0441466,4001,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1707.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108803000,399000.0,flat,sale,3,2,105.0,plaza san marcos,Sevilla,Sevilla,Centro,Feria,37.3954886,-5.9895127,3687,True,1,,3800.0,{'typology': 'flat'}
107607671,258000.0,chalet,sale,4,2,221.0,Santa Eufemia,Sevilla,Tomares,Santa Eufemia,,37.3726248,-6.0392329,2868,,,,1167.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
104126778,390000.0,flat,sale,5,2,150.0,C. Teodosio,Sevilla,Sevilla,Centro,San Vicente,37.398824,-5.9985174,3772,True,1,,2600.0,{'typology': 'flat'}
108752327,235000.0,chalet,sale,4,2,174.0,calle José Sarabia,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.3707993,-5.9507353,5086,,,,1351.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}"
106551587,395000.0,flat,sale,4,2,113.0,calle Genaro Parladé,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Felipe II - Bueno Monreal,37.3689371,-5.9790588,2577,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 35000.0}",3496.0,{'typology': 'flat'}
103091350,519990.0,flat,sale,4,3,183.0,avenida italia,Sevilla,Sevilla,La Palmera - Los Bermejales,Los Bermejales,37.3505604,-5.9777859,3154,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2841.0,{'typology': 'flat'}
108545971,1300000.0,chalet,sale,7,4,374.0,calle Beatriz de Suabia,Sevilla,Sevilla,Nervión,Nervión,37.3857263,-5.964944,4402,,,,3476.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108583232,235000.0,flat,sale,1,1,47.0,calle Leoncillos,Sevilla,Sevilla,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3909274,-5.9863234,3390,True,1,,5000.0,{'typology': 'flat'}
108545971,1300000.0,chalet,sale,7,4,374.0,calle Beatriz de Suabia,Sevilla,Sevilla,Nervión,Nervión,37.3857263,-5.964944,4402,,,,3476.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108664363,135000.0,flat,sale,2,1,52.0,calle Juan Talavera Heredia,Sevilla,Sevilla,Cerro Amate,Cerro del Águila,37.368717,-5.9553141,4662,True,3,,2596.0,{'typology': 'flat'}
33266171,1400000.0,chalet,sale,9,7,936.0,Simon Verde,Sevilla,Mairena del Aljarafe,Simon Verde,,37.3457294,-6.0341302,3209,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1496.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108371749,418000.0,chalet,sale,4,3,202.0,Gines,Sevilla,Gines,,,37.387434,-6.0725859,6200,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2069.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
105561884,310000.0,flat,sale,2,1,80.0,calle José Gestoso,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.3936928,-5.9916816,3424,False,2,,3875.0,{'typology': 'flat'}
107759250,1350000.0,chalet,sale,3,2,140.0,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.388105,-5.9877296,3062,,,,9643.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
101537021,285000.0,flat,sale,3,1,80.0,calle Santo Domingo de la Calzada,Sevilla,Sevilla,Nervión,Nervión,37.3872689,-5.9751676,3757,True,bj,,3563.0,{'typology': 'flat'}
106542638,750000.0,studio,sale,0,4,120.0,calle Juan Sebastián Elcano,Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3734882,-5.9952035,1418,True,bj,,6250.0,"{'typology': 'flat', 'subTypology': 'studio'}"
106551587,395000.0,flat,sale,4,2,113.0,calle Genaro Parladé,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Felipe II - Bueno Monreal,37.3689371,-5.9790588,2577,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 35000.0}",3496.0,{'typology': 'flat'}
