precio;vivienda;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;precio_m2;tipo_vivienda
1500;piso;63;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.81;Piso
1300;piso;70;0;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;18.57;Piso
2355;piso;80;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.44;Piso
1900;piso;62;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;30.65;Piso
2300;piso;70;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.86;Piso
3100;dúplex;91;0;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;34.07;other
1315;piso;46;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.59;Piso
2050;piso;85;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;24.12;Piso
1599;piso;54;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;29.61;Piso
2350;piso;95;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;24.74;Piso
1200;piso;75;2;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;16.0;Piso
1190;piso;58;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;20.52;Piso
2505;piso;73;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;34.32;Piso
1950;piso;61;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.97;Piso
1100;piso;58;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;18.97;Piso
1700;piso;45;3;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;37.78;Piso
1000;estudio;29;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;34.48;Piso
1500;piso;74;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;20.27;Piso
2390;ático;31;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;77.1;Piso
1800;piso;90;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;20.0;Piso
1610;piso;62;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;25.97;Piso
1300;ático;46;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.26;Piso
2090;piso;46;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;45.43;Piso
3100;piso;140;5;3;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;22.14;Piso
3000;piso;107;3;3;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;28.04;Piso
1550;piso;67;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.13;Piso
1400;piso;75;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;18.67;Piso
3300;piso;90;2;2;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;36.67;Piso
2000;piso;55;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;36.36;Piso
1500;piso;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;30.0;Piso
1250;piso;38;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.89;Piso
1650;piso;85;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;19.41;Piso
1900;piso;60;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.67;Piso
1600;piso;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.0;Piso
1150;piso;34;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.82;Piso
