precio;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;barrio;distrito;ciudad;Ascensor;EXT-INT;vivienda;precio_m2;tipo_vivienda;Planta_num;barrio_encoded;estado_encoded;EXT-INT_encoded;Ascensor_encoded
1690000;145;2;2;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital;;;Piso;11655.17;Piso;;57;0;2;2
895000;106;2;;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Ático;8443.4;Piso;4.0;50;0;0;1
1495000;164;3;3;Segunda mano/buen estado;False;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;9115.85;Piso;2.0;50;0;0;1
723000;123;5;2;Segunda mano/buen estado;True;True;Lavapiés-Embajadores;Centro;Madrid capital; No;Exterior;Piso;5878.05;Piso;2.0;38;0;0;0
2450000;166;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;14759.04;Piso;2.0;12;0;0;1
750000;114;2;2;Segunda mano/buen estado;False;False;Sol;Centro;Madrid capital; Si;Exterior;Piso;6578.95;Piso;2.0;57;0;0;1
2350000;218;4;4;Segunda mano/buen estado;False;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;10779.82;Piso;5.0;57;0;0;1
1300000;102;3;3;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; No;Interior;Piso;12745.1;Piso;1.0;39;0;1;0
350000;56;2;;Segunda mano/buen estado;False;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;6250.0;Piso;2.0;38;0;0;1
1595000;188;3;2;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;8484.04;Piso;2.0;50;0;0;1
549000;63;;;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;8714.29;Piso;2.0;12;0;0;1
220000;38;;;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital;;;Estudio;5789.47;Piso;;39;0;2;2
6200000;311;4;4;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Ático;19935.69;Piso;5.0;12;0;0;1
1395000;128;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;10898.44;Piso;4.0;39;0;0;1
2950000;265;4;4;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;11132.08;Piso;3.0;12;0;0;1
1060000;129;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;8217.05;Piso;1.0;39;0;0;1
349000;45;2;;Segunda mano/buen estado;True;False;Malasaña-Universidad;Centro;Madrid capital;;;Piso;7755.56;Piso;;39;0;2;2
1295000;170;2;2;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Dúplex;7617.65;Piso;4.0;39;0;0;1
1490000;127;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;11732.28;Piso;1.0;12;0;0;1
3390000;438;4;3;Segunda mano/buen estado;True;False;Sol;Centro;Madrid capital; Si;Exterior;Piso;7739.73;Piso;2.0;57;0;0;1
1650000;202;3;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;8168.32;Piso;2.0;12;0;0;1
415000;57;;;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; Si;Exterior;Estudio;7280.7;Piso;2.0;57;0;0;1
